         871 function calls (854 primitive calls) in 0.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:315(_acquire_restore)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/compilerop.py:180(extra_flags)
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:2304(validate)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2909(args)
       28    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:2371(cast)
      3/1    0.000    0.000    0.000    0.000 {method 'control' of 'select.kqueue' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:398(notify)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/ioloop.py:549(time)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:216(_check_mp_mode)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:312(_release_save)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:157(_handle_event)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2932(kwargs)
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:213(_is_master_process)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:3486(validate_elements)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/queue.py:267(_qsize)
        5    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        7    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        5    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/interactiveshell.py:1277(user_global_ns)
        5    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/interactiveshell.py:3493(compare)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:318(_is_owned)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:538(receiving)
        3    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/unix_events.py:83(_process_self_data)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/lib/arraysetops.py:125(_unpack_tuple)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:173(qsize)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:129(__lt__)
       10    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2819(kind)
        4    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/selector_events.py:740(_process_events)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:2060(get_debug)
        2    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
