         696890 function calls (696876 primitive calls) in 0.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:556(_run_callback)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:213(_is_master_process)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:36(__init__)
      114    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/ioloop.py:549(time)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/BmpImagePlugin.py:52(_accept)
        1    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:1523(notify_change)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:348(preinit)
       57    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       57    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        6    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:426(inner)
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/GifImagePlugin.py:69(_accept)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:1527(_notify_observers)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:3624(validate_elements)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:542(sending)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:256(get_nowait)
